scenario,sex,age_start,age_end,time_start,time_end,month,draw_0,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
elimination_36m,female,0,5,0,.082135521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_36m,female,0,5,.082135521,.16427104,1,3.3934540e-09,3.9023959e-10,5.3615108e-09,5.3632832e-08,4.6959583e-09,9.4568808e-10,2.8072169e-08,2.1721938e-09,2.4286509e-10,1.8369655e-09,1.2352525e-08,1.4274337e-08,6.0086941e-10,1.4350309e-08,5.1269251e-09,6.5103043e-09,8.8023572e-10,1.4498004e-08,2.9750669e-10,2.5165551e-08,1.1708678e-09,7.0128464e-10,9.1522923e-09,2.0277875e-09,4.7026356e-09,1.5185174e-08,3.2395409e-08,2.4597120e-09,1.9417143e-09,1.4050929e-08,1.2630204e-09,9.4621122e-10,1.6090938e-08,4.4130264e-09,3.8042650e-08,3.3017872e-10,3.5754705e-10,2.5489419e-09,1.5524426e-09,1.0931583e-09,1.3502038e-09,1.1032398e-09,2.5680711e-09,2.1672089e-09,1.4122702e-09,9.0175254e-09,4.6333476e-10,2.8924338e-09,1.4753663e-09,7.5887430e-10,5.4434313e-10,4.3485264e-09,7.4858825e-10,1.3229495e-08,5.2496829e-09,8.3241067e-09,1.1464372e-08,2.0069402e-09,2.3991045e-10,5.1727589e-10,2.3835798e-09,3.7873038e-09,2.5765419e-09,6.0315584e-09,7.0858048e-09,2.8656475e-09,5.1805320e-09,2.2048432e-08,3.7070620e-09,2.5661615e-09,4.1268333e-08,5.8504379e-09,1.0306698e-10,1.0889423e-09,3.6419645e-09,9.4893986e-09,1.1917344e-08,2.7546285e-09,2.7963978e-08,1.1193028e-09,7.7930702e-09,9.7065254e-09,3.8769508e-09,1.3297652e-09,3.5357023e-10,7.9588602e-10,1.2846108e-09,2.5968565e-09,2.4034157e-09,6.1546630e-09,9.1984145e-09,7.6897857e-09,1.9673070e-08,3.1009556e-08,1.8229448e-09,6.0845426e-09,5.1926703e-09,4.7792890e-09,1.0748884e-09,9.4487893e-09,3.2292197e-10
elimination_36m,female,0,5,.16427104,.24640657,2,3.3934540e-09,3.9023959e-10,5.3615108e-09,5.3632832e-08,4.6959583e-09,9.4568808e-10,2.8072169e-08,2.1721938e-09,2.4286509e-10,1.8369655e-09,1.2352525e-08,1.4274337e-08,6.0086941e-10,1.4350309e-08,5.1269251e-09,6.5103043e-09,8.8023572e-10,1.4498004e-08,2.9750669e-10,2.5165551e-08,1.1708678e-09,7.0128464e-10,9.1522923e-09,2.0277875e-09,4.7026356e-09,1.5185174e-08,3.2395409e-08,2.4597120e-09,1.9417143e-09,1.4050929e-08,1.2630204e-09,9.4621122e-10,1.6090938e-08,4.4130264e-09,3.8042650e-08,3.3017872e-10,3.5754705e-10,2.5489419e-09,1.5524426e-09,1.0931583e-09,1.3502038e-09,1.1032398e-09,2.5680711e-09,2.1672089e-09,1.4122702e-09,9.0175254e-09,4.6333476e-10,2.8924338e-09,1.4753663e-09,7.5887430e-10,5.4434313e-10,4.3485264e-09,7.4858825e-10,1.3229495e-08,5.2496829e-09,8.3241067e-09,1.1464372e-08,2.0069402e-09,2.3991045e-10,5.1727589e-10,2.3835798e-09,3.7873038e-09,2.5765419e-09,6.0315584e-09,7.0858048e-09,2.8656475e-09,5.1805320e-09,2.2048432e-08,3.7070620e-09,2.5661615e-09,4.1268333e-08,5.8504379e-09,1.0306698e-10,1.0889423e-09,3.6419645e-09,9.4893986e-09,1.1917344e-08,2.7546285e-09,2.7963978e-08,1.1193028e-09,7.7930702e-09,9.7065254e-09,3.8769508e-09,1.3297652e-09,3.5357023e-10,7.9588602e-10,1.2846108e-09,2.5968565e-09,2.4034157e-09,6.1546630e-09,9.1984145e-09,7.6897857e-09,1.9673070e-08,3.1009556e-08,1.8229448e-09,6.0845426e-09,5.1926703e-09,4.7792890e-09,1.0748884e-09,9.4487893e-09,3.2292197e-10
elimination_36m,female,0,5,.24640657,.32854208,3,3.3934540e-09,3.9023959e-10,5.3615108e-09,5.3632832e-08,4.6959583e-09,9.4568808e-10,2.8072169e-08,2.1721938e-09,2.4286509e-10,1.8369655e-09,1.2352525e-08,1.4274337e-08,6.0086941e-10,1.4350309e-08,5.1269251e-09,6.5103043e-09,8.8023572e-10,1.4498004e-08,2.9750669e-10,2.5165551e-08,1.1708678e-09,7.0128464e-10,9.1522923e-09,2.0277875e-09,4.7026356e-09,1.5185174e-08,3.2395409e-08,2.4597120e-09,1.9417143e-09,1.4050929e-08,1.2630204e-09,9.4621122e-10,1.6090938e-08,4.4130264e-09,3.8042650e-08,3.3017872e-10,3.5754705e-10,2.5489419e-09,1.5524426e-09,1.0931583e-09,1.3502038e-09,1.1032398e-09,2.5680711e-09,2.1672089e-09,1.4122702e-09,9.0175254e-09,4.6333476e-10,2.8924338e-09,1.4753663e-09,7.5887430e-10,5.4434313e-10,4.3485264e-09,7.4858825e-10,1.3229495e-08,5.2496829e-09,8.3241067e-09,1.1464372e-08,2.0069402e-09,2.3991045e-10,5.1727589e-10,2.3835798e-09,3.7873038e-09,2.5765419e-09,6.0315584e-09,7.0858048e-09,2.8656475e-09,5.1805320e-09,2.2048432e-08,3.7070620e-09,2.5661615e-09,4.1268333e-08,5.8504379e-09,1.0306698e-10,1.0889423e-09,3.6419645e-09,9.4893986e-09,1.1917344e-08,2.7546285e-09,2.7963978e-08,1.1193028e-09,7.7930702e-09,9.7065254e-09,3.8769508e-09,1.3297652e-09,3.5357023e-10,7.9588602e-10,1.2846108e-09,2.5968565e-09,2.4034157e-09,6.1546630e-09,9.1984145e-09,7.6897857e-09,1.9673070e-08,3.1009556e-08,1.8229448e-09,6.0845426e-09,5.1926703e-09,4.7792890e-09,1.0748884e-09,9.4487893e-09,3.2292197e-10
elimination_36m,female,0,5,.32854208,.41067761,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_36m,female,0,5,.41067761,.49281314,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_36m,female,0,5,.49281314,.57494867,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_36m,female,0,5,.57494867,.65708417,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_36m,female,0,5,.65708417,.73921973,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_36m,female,0,5,.73921973,.82135522,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_36m,female,0,5,.82135522,.90349078,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_36m,female,0,5,.90349078,.98562628,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_36m,female,0,5,.98562628,1.0677618,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
