scenario,sex,age_start,age_end,time_start,time_end,month,draw_0,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
elimination_verity,female,0,5,0,.082135521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_verity,female,0,5,.082135521,.16427104,1,.0030323975,.0030399915,.0031054039,.0040390939,.0023985351,.0026359712,.0025631043,.0035059606,.0020357771,.0018685282,.0039815507,.0030823792,.0045467811,.0031307884,.0041441489,.00395395,.0029698336,.0024085096,.001711323,.0031735417,.0040828404,.0030895581,.0039992244,.00260631,.0044752494,.0040567364,.0051613799,.00262128,.0028748382,.004865496,.0037105733,.003910773,.0029564183,.0029371488,.0033192846,.0030277064,.0011588227,.0026459086,.0025585555,.0031291794,.004005827,.004304043,.005042199,.0030675498,.0042230641,.0024533218,.0038466111,.0042828098,.0040785978,.002217897,.002417586,.0039179632,.0049746255,.003561486,.0027087668,.0035113485,.0028383513,.0045530759,.0017615578,.0038953933,.0025847272,.0033441437,.0029076324,.0033089332,.0026530577,.0035677538,.0029124808,.0026353591,.0025592383,.0041892249,.0039145029,.0037893793,.0032601485,.0022374974,.003259345,.0020652742,.0031368795,.0037632585,.0030485911,.0060258377,.0023452775,.0043738992,.0023171643,.0016913307,.0028583277,.0031856291,.0024164049,.0035372702,.0032309128,.003811277,.003006076,.0031119823,.0030539988,.0025388661,.0039284248,.0013782941,.0034225814,.0032992656,.0030996299,.0017052146,.0029614123
elimination_verity,female,0,5,.16427104,.24640657,2,.0030323975,.0030399915,.0031054039,.0040390939,.0023985351,.0026359712,.0025631043,.0035059606,.0020357771,.0018685282,.0039815507,.0030823792,.0045467811,.0031307884,.0041441489,.00395395,.0029698336,.0024085096,.001711323,.0031735417,.0040828404,.0030895581,.0039992244,.00260631,.0044752494,.0040567364,.0051613799,.00262128,.0028748382,.004865496,.0037105733,.003910773,.0029564183,.0029371488,.0033192846,.0030277064,.0011588227,.0026459086,.0025585555,.0031291794,.004005827,.004304043,.005042199,.0030675498,.0042230641,.0024533218,.0038466111,.0042828098,.0040785978,.002217897,.002417586,.0039179632,.0049746255,.003561486,.0027087668,.0035113485,.0028383513,.0045530759,.0017615578,.0038953933,.0025847272,.0033441437,.0029076324,.0033089332,.0026530577,.0035677538,.0029124808,.0026353591,.0025592383,.0041892249,.0039145029,.0037893793,.0032601485,.0022374974,.003259345,.0020652742,.0031368795,.0037632585,.0030485911,.0060258377,.0023452775,.0043738992,.0023171643,.0016913307,.0028583277,.0031856291,.0024164049,.0035372702,.0032309128,.003811277,.003006076,.0031119823,.0030539988,.0025388661,.0039284248,.0013782941,.0034225814,.0032992656,.0030996299,.0017052146,.0029614123
elimination_verity,female,0,5,.24640657,.32854208,3,.0030323975,.0030399915,.0031054039,.0040390939,.0023985351,.0026359712,.0025631043,.0035059606,.0020357771,.0018685282,.0039815507,.0030823792,.0045467811,.0031307884,.0041441489,.00395395,.0029698336,.0024085096,.001711323,.0031735417,.0040828404,.0030895581,.0039992244,.00260631,.0044752494,.0040567364,.0051613799,.00262128,.0028748382,.004865496,.0037105733,.003910773,.0029564183,.0029371488,.0033192846,.0030277064,.0011588227,.0026459086,.0025585555,.0031291794,.004005827,.004304043,.005042199,.0030675498,.0042230641,.0024533218,.0038466111,.0042828098,.0040785978,.002217897,.002417586,.0039179632,.0049746255,.003561486,.0027087668,.0035113485,.0028383513,.0045530759,.0017615578,.0038953933,.0025847272,.0033441437,.0029076324,.0033089332,.0026530577,.0035677538,.0029124808,.0026353591,.0025592383,.0041892249,.0039145029,.0037893793,.0032601485,.0022374974,.003259345,.0020652742,.0031368795,.0037632585,.0030485911,.0060258377,.0023452775,.0043738992,.0023171643,.0016913307,.0028583277,.0031856291,.0024164049,.0035372702,.0032309128,.003811277,.003006076,.0031119823,.0030539988,.0025388661,.0039284248,.0013782941,.0034225814,.0032992656,.0030996299,.0017052146,.0029614123
elimination_verity,female,0,5,.32854208,.41067761,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_verity,female,0,5,.41067761,.49281314,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_verity,female,0,5,.49281314,.57494867,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_verity,female,0,5,.57494867,.65708417,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_verity,female,0,5,.65708417,.73921973,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_verity,female,0,5,.73921973,.82135522,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
