sex,age,mortality per 1 rate,1-year,5-year,$/notlastyr,$/lastyr,pYLD rate,APC in all-cause mortality
male,0,0.002488781,,,,,0.028050071,-0.0303081
male,1,0.000136834,,,,,0.028050071,-0.0303081
male,2,0.000127035,,61848,,,0.028050071,-0.0303081
male,3,0.000117937,,,,,0.028050071,-0.0303081
male,4,0.000109492,,,,,0.028050071,-0.0303081
male,5,9.71821E-05,,,,,0.035508151,-0.0243574
male,6,9.02226E-05,,,,,0.035508151,-0.0243574
male,7,8.37615E-05,,60807.6,,,0.035508151,-0.0243574
male,8,7.8628E-05,,,,,0.035508151,-0.0243574
male,9,7.38091E-05,,,,,0.035508151,-0.0243574
male,10,5.54647E-05,,,,,0.049377082,-0.0314004
male,11,5.20654E-05,,,,,0.049377082,-0.0314004
male,12,4.88744E-05,,60228,,,0.049377082,-0.0314004
male,13,6.54764E-05,,,,,0.049377082,-0.0314004
male,14,8.77179E-05,,,,,0.049377082,-0.0314004
male,15,0.000155971,,,,,0.071736367,-0.0256127
male,16,0.000208952,,,,,0.071736367,-0.0256127
male,17,0.00027993,,55390,,,0.071736367,-0.0256127
male,18,0.000321049,,,,,0.071736367,-0.0256127
male,19,0.000368207,,,,,0.071736367,-0.0256127
male,20,0.000413851,,,,,0.084267683,-0.0144501
male,21,0.000474641,,,,,0.084267683,-0.0144501
male,22,0.000544361,,56009.4,,,0.084267683,-0.0144501
male,23,0.000574803,,,,,0.084267683,-0.0144501
male,24,0.000606948,,,,,0.084267683,-0.0144501
male,25,0.000634233,,,,,0.095330794,-0.0104606
male,26,0.000669701,,,,,0.095330794,-0.0104606
male,27,0.000707153,,74891,,,0.095330794,-0.0104606
male,28,0.000722293,,,,,0.095330794,-0.0104606
male,29,0.000737757,,,,,0.095330794,-0.0104606
male,30,0.000740426,,,,,0.102465451,-0.0146988
male,31,0.000756278,,,,,0.102465451,-0.0146988
male,32,0.00077247,,70596.2,,,0.102465451,-0.0146988
male,33,0.000787955,,,,,0.102465451,-0.0146988
male,34,0.000803751,,,,,0.102465451,-0.0146988
male,35,0.000803075,,,,,0.10839527,-0.0218439
male,36,0.000819174,,,,,0.10839527,-0.0218439
male,37,0.000835595,,64192.6,,,0.10839527,-0.0218439
male,38,0.000879805,,,,,0.10839527,-0.0218439
male,39,0.000926355,,,,,0.10839527,-0.0218439
male,40,0.000966083,,,,,0.115606298,-0.0247569
male,41,0.001017197,,,,,0.115606298,-0.0247569
male,42,0.001071015,,62067.4,,,0.115606298,-0.0247569
